tichet,single,card,male,age,fc,gomi,goshuin
0,1,1,1,1,0.821917808,0,0
0,1,0,1,0,2.191780822,0,0
0,0,1,0,1,3.835616438,0,0
0,1,1,0,1,0.98630137,0,0
0,0,1,1,0,1.076712329,0,1
0,1,1,1,0,1.04109589,0,0
0,1,1,1,0,0.082191781,1,1
0,1,0,1,1,2.082191781,0,0
0,1,1,0,1,3.561643836,0,1
0,1,0,1,0,0.246575342,0,1
0,0,1,1,1,0.002739726,0,0
0,0,1,0,0,1.342465753,0,1
0,0,0,1,0,3.961643836,0,0
0,0,0,1,1,2.517808219,0,0
0,0,1,1,0,0.005479452,0,0
0,1,0,1,0,1.232876712,0,0
0,0,0,0,1,0.493150685,0,0
0,0,1,0,1,0.547945205,1,1
0,1,1,1,1,1.095890411,0,0
0,0,0,1,1,0.273972603,1,0
0,1,1,1,0,1,0,0
0,0,1,1,1,2.684931507,1,0
0,0,1,1,1,0.02739726,0,0
0,1,1,1,0,2.326027397,0,0
0,1,0,1,0,0.832876712,0,0
0,1,1,1,0,1.726027397,0,0
0,0,1,1,0,3.287671233,0,0
0,1,0,1,1,1.032876712,0,0
0,0,1,1,1,0,0,1
0,1,1,1,1,0.547945205,0,0
0,0,1,1,0,3.835616438,0,1
0,0,1,1,1,2.720547945,0,0
0,0,1,0,0,1.917808219,0,0
0,1,0,1,1,0.547945205,1,0
0,1,1,1,0,1.876712329,0,1
0,1,1,1,0,1.723287671,0,0
0,0,1,0,1,0,0,0
0,0,1,1,1,0.246575342,0,0
0,0,1,0,1,0.054794521,0,0
0,0,0,1,0,3.01369863,0,0
0,1,0,1,1,2.098630137,1,0
0,0,1,0,0,1.917808219,0,0
0,1,0,1,0,3.95890411,1,0
0,0,1,1,0,3.287671233,1,0
0,1,0,1,1,1.654794521,0,0
0,0,1,1,1,1.506849315,0,0
0,0,0,0,1,0,0,0
0,0,1,1,1,0.493150685,0,0
0,1,1,1,0,2.531506849,0,0
0,0,0,1,1,2.739726027,0,0
0,1,0,1,0,2.328767123,0,0
0,0,1,0,1,0.010958904,0,0
0,0,1,0,0,1.671232877,0,1
0,0,1,1,0,0.931506849,0,0
0,0,1,1,1,1.660273973,0,0
0,0,0,1,1,0.821917808,0,0
0,0,0,1,1,2.060273973,0,0
0,0,0,1,1,0.010958904,0,0
